locus tag	logFC	logCPM	PValue	FDR
SL1344_1799	5,33	11,17	0,00	0,00
SL1344_1946	2,20	3,38	0,07	0,14
SL1344_2447	0,81	5,72	0,07	0,14
SL1344_2499	1,02	7,41	0,00	0,00
SL1344_3423	3,49	6,65	0,00	0,00
SL1344_3615	-2,62	12,57	0,00	0,00
STsORF112	-0,34	3,38	0,75	0,82
SL1344_0620	2,45	7,47	0,00	0,00
SL1344_1439	0,68	4,18	0,35	0,48
SL1344_2673	1,06	3,49	0,59	0,69
SL1344_3338	-2,63	4,18	0,05	0,10
SL1344_3586	0,38	5,04	0,45	0,57
SL1344_3900	-1,86	6,59	0,00	0,00
SL1344_4462	1,40	4,51	0,02	0,05
SL1344_P2_0018	-2,08	5,62	0,01	0,02
SL1344_0689	0,36	7,26	0,40	0,53
SL1344_1330A	0,61	4,37	0,33	0,46
SL1344_2595	1,74	4,67	0,02	0,04
SL1344_4323	-3,42	5,90	0,00	0,00
SL1344_4339	0,15	10,01	0,54	0,65
SL1344_P3_0005	0,49	9,34	0,09	0,16
SL1344_1766	0,22	10,53	0,56	0,67
SL1344_3170	0,61	5,60	0,21	0,32
SL1344_3653	0,30	3,32	0,80	0,86
SL1344_P1_0085	-1,03	4,59	0,30	0,43
STsORF60	4,89	2,76	0,02	0,04
STsORF215	-0,42	3,77	0,71	0,79
SL1344_0534	-0,41	5,70	0,30	0,43
SL1344_0617	-0,35	12,02	0,07	0,14
SL1344_1182	1,14	4,80	0,11	0,20
SL1344_1322	-1,27	5,70	0,01	0,03
SL1344_1635	-1,20	6,28	0,00	0,01
SL1344_1924	-2,42	9,69	0,00	0,00
SL1344_4045	-2,73	8,79	0,00	0,00
SL1344_4176	-2,54	8,79	0,00	0,00
SL1344_P3_0006	-0,14	8,57	0,66	0,76
SL1344_P1_0092	0,03	6,25	0,96	0,97
SL1344_0045	-2,15	4,22	0,03	0,06
SL1344_0301	-5,93	3,94	0,00	0,01
SL1344_0374	1,32	6,50	0,00	0,00
SL1344_1340	7,17	8,62	0,00	0,00
SL1344_1494	-1,46	4,04	0,15	0,25
SL1344_3183	-2,13	10,56	0,00	0,00
SL1344_4249	-3,31	4,94	0,00	0,00
SL1344_P1_0015	-0,28	4,08	0,83	0,89
STsORF75	1,78	5,50	0,00	0,00
STsORF76	-0,13	4,32	0,88	0,92
SL1344_0239	-0,42	7,30	0,17	0,27
SL1344_0466	0,50	7,64	0,11	0,19
SL1344_0575	-1,62	5,33	0,01	0,03
SL1344_0891	-1,76	9,31	0,00	0,00
SL1344_1617	3,41	7,37	0,00	0,00
SL1344_1637	-3,79	6,35	0,00	0,00
SL1344_2645	-0,58	3,96	0,54	0,65
SL1344_2665	0,57	3,76	0,56	0,67
SL1344_2985	-1,51	5,00	0,01	0,02
SL1344_3421	-0,51	4,74	0,52	0,63
SL1344_3430	-0,02	5,46	0,96	0,98
SL1344_P1_0080	1,20	7,93	0,00	0,00
STsORF193	-2,01	7,94	0,00	0,00
SL1344_0882	3,45	6,97	0,00	0,00
SL1344_1516	-0,50	4,66	0,57	0,68
SL1344_2480	0,88	4,95	0,14	0,23
SL1344_3365	0,01	4,69	0,98	0,99
SL1344_3427	0,89	3,59	0,34	0,46
