GeneID;Locus_tag;Strand;Start;End;EL (Biological replicate 1);EL (Biological replicate 2);EL (Biological replicate 3);ML (Biological replicate 1);ML (Biological replicate 2);ML (Biological replicate 3);SP (Biological replicate 1);SP (Biological replicate 2);SP (Biological replicate 3);EL_TEX (Biological replicate 1);EL_TEX (Biological replicate 2);EL_TEX(Biological replicate 3);ML_TEX (Biological replicate 1);ML_TEX (Biological replicate 2);ML_TEX (Biological replicate 3);SP_TEX (Biological replicate 1);SP_TEX (Biological replicate 2);SP_TEX (Biological replicate 3)
1075078;BT_0034;+;30281;31492;0;0;0;0;0;0;2370742;0;16061309;96682438;0;0;178199543;180085675;282420938;852341534;1053038862;407766814
1075084;BT_0035;-;31935;32138;0;0;0;0;0;0;563399862;614938584;0;0;0;0;0;0;139826052;1543875447;0;605653651
1074833;BT_0036;+;32315;33526;0;0;0;0;120060619;0;0;0;107075394;193364875;190930396;106990391;0;180085675;94140313;103944089;0;203883407
1075076;BT_0037;+;34087;35142;1247520288;1250045966;1535814628;1093265226;1653562164;1130262704;544193048;950359629;368680048;221930141;657408068;73677474;1124884618;2376926263;648284425;3936882389;5505850917;2691029289
1075075;BT_0038;+;35266;35703;0;301380945;793454133;1171474458;66444507;272501693;262405415;1145639005;0;267532224;0;592111207;0;498319264;520995702;122241097;647530746;846255786
1075067;BT_0039;+;35989;36417;307081917;615407245;270033341;897038134;678384477;1947529582;267910424;292418348;1512533531;819434366;539411748;30226656;0;763160272;797888523;58732045;661115307;1152012538
1075056;BT_0040;+;36478;38019;683466368;856062607;751260074;415941807;377466849;619225637;521747732;32541497;84160426;683924792;300139611;252280845;49022209;283091878;258977436;8986917;5517869;721128471
1075546;BT_0041;+;38016;39218;438032061;219459441;385184716;853043745;72575297;496075401;286617386;208557724;539382282;584434485;480897007;107790818;269299061;362865898;379378417;628330356;353638986;616226158
1074004;BT_0042;+;39215;40375;0;113699271;299339285;441951604;2506692;102804256;494976623;324153672;111778964;403717879;315586072;223380455;18602743;93998207;98275675;217020218;366432128;239444467
1075083;BT_0043;+;40406;40582;744283291;0;0;724725724;0;674326223;0;0;0;662028895;653693898;732612171;0;1233129027;0;1423505496;801182109;0
1075068;BT_0044;+;40593;41537;278810884;139687676;122586564;542969114;153982508;126302372;0;265497293;411985324;123999063;367313714;274438845;457095972;346450536;36221606;399937259;1050438766;1045954241
